Symbole,TimeFrame,Time,Open,High,Low,Close,Volume
EURUSD,M30,2019.09.05 23:30:00,1.10357,1.10361,1.10332,1.1034,283
EURUSD,M30,2019.09.06 00:00:00,1.1034,1.10379,1.10335,1.10343,330
EURUSD,M30,2019.09.06 00:30:00,1.10344,1.1035,1.10324,1.10345,2502
EURUSD,M30,2019.09.06 01:00:00,1.10345,1.10381,1.10343,1.10357,726
EURUSD,M30,2019.09.06 01:30:00,1.10357,1.10375,1.10355,1.10355,224
EURUSD,M30,2019.09.06 02:00:00,1.10355,1.10369,1.10345,1.10348,320
EURUSD,M30,2019.09.06 02:30:00,1.10348,1.10361,1.10326,1.1034,345
EURUSD,M30,2019.09.06 03:00:00,1.10339,1.10353,1.10318,1.10323,610
EURUSD,M30,2019.09.06 03:30:00,1.10323,1.10326,1.10297,1.10299,655
EURUSD,M30,2019.09.06 04:00:00,1.10299,1.10348,1.10299,1.10346,511
EURUSD,M30,2019.09.06 04:30:00,1.10345,1.1035,1.10299,1.10301,659
EURUSD,M30,2019.09.06 05:00:00,1.10301,1.10348,1.10298,1.10344,704
EURUSD,M30,2019.09.06 05:30:00,1.10344,1.10359,1.10336,1.10336,386
EURUSD,M30,2019.09.06 06:00:00,1.10336,1.10349,1.10329,1.10331,904
EURUSD,M30,2019.09.06 06:30:00,1.10331,1.10345,1.10329,1.10343,308
EURUSD,M30,2019.09.06 07:00:00,1.10343,1.10361,1.10333,1.10344,376
EURUSD,M30,2019.09.06 07:30:00,1.10344,1.10382,1.10335,1.10376,576
EURUSD,M30,2019.09.06 08:00:00,1.10376,1.10404,1.10366,1.10389,473
EURUSD,M30,2019.09.06 08:30:00,1.10389,1.10463,1.10385,1.10438,693
EURUSD,M30,2019.09.06 09:00:00,1.10439,1.10446,1.10376,1.10404,2305
EURUSD,M30,2019.09.06 09:30:00,1.10404,1.10461,1.10395,1.10423,1875
EURUSD,M30,2019.09.06 10:00:00,1.10423,1.1045,1.1036,1.10402,2262
EURUSD,M30,2019.09.06 10:30:00,1.10401,1.10514,1.10377,1.10467,2704
EURUSD,M30,2019.09.06 11:00:00,1.10466,1.1048,1.10417,1.10434,1894
EURUSD,M30,2019.09.06 11:30:00,1.10434,1.10448,1.10366,1.1037,1719
EURUSD,M30,2019.09.06 12:00:00,1.1037,1.10402,1.10299,1.10332,2351
EURUSD,M30,2019.09.06 12:30:00,1.10332,1.10352,1.10285,1.10304,1770
EURUSD,M30,2019.09.06 13:00:00,1.10304,1.10319,1.10241,1.10251,1911
EURUSD,M30,2019.09.06 13:30:00,1.10251,1.10318,1.10251,1.10301,1368
EURUSD,M30,2019.09.06 14:00:00,1.10301,1.10301,1.10209,1.10237,1592
EURUSD,M30,2019.09.06 14:30:00,1.10237,1.10242,1.10202,1.10221,1470
EURUSD,M30,2019.09.06 15:00:00,1.10221,1.10326,1.10221,1.1031,1847
EURUSD,M30,2019.09.06 15:30:00,1.10312,1.10465,1.10244,1.104,4116
EURUSD,M30,2019.09.06 16:00:00,1.104,1.10544,1.104,1.10485,2228
EURUSD,M30,2019.09.06 16:30:00,1.10486,1.10571,1.10462,1.105,2918
EURUSD,M30,2019.09.06 17:00:00,1.105,1.10533,1.1041,1.10414,2125
EURUSD,M30,2019.09.06 17:30:00,1.10414,1.10489,1.10386,1.10474,2058
EURUSD,M30,2019.09.06 18:00:00,1.10477,1.10503,1.1044,1.10498,1275
EURUSD,M30,2019.09.06 18:30:00,1.10498,1.10498,1.10394,1.10422,1193
EURUSD,M30,2019.09.06 19:00:00,1.1042,1.10461,1.10398,1.10456,923
EURUSD,M30,2019.09.06 19:30:00,1.10456,1.10477,1.10269,1.10352,2899
EURUSD,M30,2019.09.06 20:00:00,1.10352,1.10365,1.10253,1.10272,2704
EURUSD,M30,2019.09.06 20:30:00,1.10272,1.10393,1.10267,1.1038,1622
EURUSD,M30,2019.09.06 21:00:00,1.1038,1.10381,1.10324,1.10343,901
EURUSD,M30,2019.09.06 21:30:00,1.10342,1.10348,1.10285,1.10296,955
EURUSD,M30,2019.09.06 22:00:00,1.10297,1.10324,1.10278,1.10293,1001
EURUSD,M30,2019.09.06 22:30:00,1.10292,1.10319,1.10248,1.10257,1110
EURUSD,M30,2019.09.06 23:00:00,1.10257,1.10282,1.10251,1.10278,471
EURUSD,M30,2019.09.06 23:30:00,1.10275,1.10279,1.10239,1.10245,589
EURUSD,M30,2019.09.09 00:00:00,1.10256,1.10256,1.10256,1.10256,3
