Symbole,TimeFrame,Time,Open,High,Low,Close,Volume
EURUSD,M30,2020.07.13 20:30:00,1.13694,1.13714,1.13664,1.13694,804
EURUSD,M30,2020.07.13 21:00:00,1.13694,1.13701,1.13573,1.13573,1287
EURUSD,M30,2020.07.13 21:30:00,1.13571,1.13592,1.13512,1.13525,1093
EURUSD,M30,2020.07.13 22:00:00,1.13523,1.1357,1.13466,1.13496,1366
EURUSD,M30,2020.07.13 22:30:00,1.13495,1.13512,1.13426,1.13495,1625
EURUSD,M30,2020.07.13 23:00:00,1.13496,1.13498,1.13434,1.13479,497
EURUSD,M30,2020.07.13 23:30:00,1.13479,1.13479,1.13413,1.13435,482
EURUSD,M30,2020.07.14 00:00:00,1.13431,1.13464,1.13402,1.13454,437
EURUSD,M30,2020.07.14 00:30:00,1.13452,1.13494,1.13411,1.13449,461
EURUSD,M30,2020.07.14 01:00:00,1.1345,1.13493,1.13431,1.13478,508
EURUSD,M30,2020.07.14 01:30:00,1.13477,1.13478,1.13446,1.13447,343
EURUSD,M30,2020.07.14 02:00:00,1.13448,1.13472,1.13446,1.13466,442
EURUSD,M30,2020.07.14 02:30:00,1.13465,1.13502,1.13443,1.13446,398
EURUSD,M30,2020.07.14 03:00:00,1.13447,1.13479,1.134,1.13423,669
EURUSD,M30,2020.07.14 03:30:00,1.13423,1.1348,1.13409,1.13448,530
EURUSD,M30,2020.07.14 04:00:00,1.13448,1.13485,1.13375,1.1338,840
EURUSD,M30,2020.07.14 04:30:00,1.13378,1.1346,1.13373,1.13432,793
EURUSD,M30,2020.07.14 05:00:00,1.13429,1.13463,1.13388,1.13398,696
EURUSD,M30,2020.07.14 05:30:00,1.13397,1.13402,1.13352,1.13386,649
EURUSD,M30,2020.07.14 06:00:00,1.13386,1.13418,1.13386,1.13403,522
EURUSD,M30,2020.07.14 06:30:00,1.13403,1.13424,1.13383,1.1342,412
EURUSD,M30,2020.07.14 07:00:00,1.13419,1.13432,1.13402,1.13428,366
EURUSD,M30,2020.07.14 07:30:00,1.13425,1.13453,1.13403,1.13448,338
EURUSD,M30,2020.07.14 08:00:00,1.13448,1.13465,1.1342,1.13436,454
EURUSD,M30,2020.07.14 08:30:00,1.13436,1.13442,1.13378,1.13381,421
EURUSD,M30,2020.07.14 09:00:00,1.13382,1.13488,1.13369,1.13449,984
EURUSD,M30,2020.07.14 09:30:00,1.13449,1.13469,1.13415,1.13428,811
EURUSD,M30,2020.07.14 10:00:00,1.13428,1.13443,1.1331,1.13332,1536
EURUSD,M30,2020.07.14 10:30:00,1.13332,1.13339,1.1325,1.1331,1534
EURUSD,M30,2020.07.14 11:00:00,1.1331,1.13399,1.13305,1.13375,1275
EURUSD,M30,2020.07.14 11:30:00,1.13374,1.13585,1.13368,1.13509,1680
EURUSD,M30,2020.07.14 12:00:00,1.13506,1.13587,1.13473,1.13577,1782
EURUSD,M30,2020.07.14 12:30:00,1.13579,1.13659,1.13572,1.13604,1501
EURUSD,M30,2020.07.14 13:00:00,1.13602,1.13625,1.13519,1.13571,1415
EURUSD,M30,2020.07.14 13:30:00,1.13573,1.13733,1.13544,1.13704,1396
EURUSD,M30,2020.07.14 14:00:00,1.13703,1.13769,1.13647,1.1376,1309
EURUSD,M30,2020.07.14 14:30:00,1.1376,1.13812,1.13737,1.13777,1496
EURUSD,M30,2020.07.14 15:00:00,1.13781,1.13804,1.13715,1.13743,1134
EURUSD,M30,2020.07.14 15:30:00,1.13743,1.13776,1.13631,1.13717,1997
EURUSD,M30,2020.07.14 16:00:00,1.1372,1.13787,1.13643,1.13663,2204
EURUSD,M30,2020.07.14 16:30:00,1.13665,1.13934,1.13611,1.13898,3337
EURUSD,M30,2020.07.14 17:00:00,1.13896,1.14016,1.13849,1.14006,3092
EURUSD,M30,2020.07.14 17:30:00,1.14007,1.14056,1.13931,1.13991,3032
EURUSD,M30,2020.07.14 18:00:00,1.13992,1.14038,1.13929,1.13944,2652
EURUSD,M30,2020.07.14 18:30:00,1.13944,1.14066,1.13939,1.14056,1824
EURUSD,M30,2020.07.14 19:00:00,1.14054,1.14066,1.14009,1.14019,1088
EURUSD,M30,2020.07.14 19:30:00,1.14019,1.14085,1.14015,1.14031,954
EURUSD,M30,2020.07.14 20:00:00,1.14031,1.14051,1.13974,1.13979,871
EURUSD,M30,2020.07.14 20:30:00,1.13982,1.13998,1.13919,1.13967,852
EURUSD,M30,2020.07.14 21:00:00,1.13967,1.14017,1.1396,1.13994,351
